record_type,snapshot_label,package,package_a,package_b,category,in_degree,out_degree,total_degree,pagerank,community,shared_dep_count,shared_dependency_similarity,same_community,centrality_balance,alt_score
node_metric,2022_end,nvidia-cublas-cu11,,,dependency,1.0,0.0,1.0,0.0145340586060996,3.0,,,,,
node_metric,2022_end,nvidia-cuda-nvrtc-cu11,,,dependency,1.0,0.0,1.0,0.0145340586060996,3.0,,,,,
node_metric,2022_end,nvidia-cuda-runtime-cu11,,,dependency,1.0,0.0,1.0,0.0145340586060996,3.0,,,,,
node_metric,2022_end,nvidia-cudnn-cu11,,,dependency,1.0,0.0,1.0,0.0145340586060996,3.0,,,,,
node_metric,2022_end,transformers,,,Model Runtime,1.0,10.0,11.0,0.0149567071801759,2.0,,,,,
node_metric,2022_end,tokenizers,,,Model Runtime,1.0,0.0,1.0,0.0129259173980561,2.0,,,,,
node_metric,2022_end,trl,,,Model Runtime,0.0,3.0,3.0,0.0116545991754438,3.0,,,,,
node_metric,2022_end,qdrant-client,,,RAG/Vector DB,0.0,6.0,6.0,0.0116545991754438,5.0,,,,,
node_metric,2022_end,grpcio,,,dependency,1.0,0.0,1.0,0.0133056531778099,5.0,,,,,
node_metric,2022_end,grpcio-tools,,,dependency,1.0,0.0,1.0,0.0133056531778099,5.0,,,,,
node_metric,2022_end,weaviate-client,,,RAG/Vector DB,0.0,4.0,4.0,0.0116545991754438,2.0,,,,,
node_metric,2022_end,authlib,,,dependency,1.0,0.0,1.0,0.0141311801789929,2.0,,,,,
node_metric,2023_end,chainlit,,,App/Service,0.0,21.0,21.0,0.0049538219478653,7.0,,,,,
node_metric,2023_end,aiofiles,,,dependency,2.0,0.0,2.0,0.005322770148276,7.0,,,,,
node_metric,2023_end,asyncer,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,click,,,dependency,5.0,0.0,5.0,0.0063276807721073,0.0,,,,,
node_metric,2023_end,dataclasses-json,,,dependency,4.0,0.0,4.0,0.0063248274847264,6.0,,,,,
node_metric,2023_end,fastapi,,,App/Service,5.0,3.0,8.0,0.0060011217054131,1.0,,,,,
node_metric,2023_end,fastapi-socketio,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,filetype,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,httpx,,,dependency,8.0,0.0,8.0,0.0100887101434621,1.0,,,,,
node_metric,2023_end,lazify,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,nest-asyncio,,,dependency,2.0,0.0,2.0,0.0054020326772645,7.0,,,,,
node_metric,2023_end,packaging,,,dependency,10.0,0.0,10.0,0.0108293571575443,2.0,,,,,
node_metric,2023_end,pydantic,,,dependency,15.0,0.0,15.0,0.0154442837732373,1.0,,,,,
node_metric,2023_end,pyjwt,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,python-dotenv,,,dependency,2.0,0.0,2.0,0.0056222063688993,0.0,,,,,
node_metric,2023_end,python-graphql-client,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,python-multipart,,,dependency,2.0,0.0,2.0,0.005322770148276,7.0,,,,,
node_metric,2023_end,syncer,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,tomli,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,uptrace,,,dependency,1.0,0.0,1.0,0.0051543372741755,7.0,,,,,
node_metric,2023_end,uvicorn,,,dependency,4.0,0.0,4.0,0.0057794995026493,4.0,,,,,
node_metric,2023_end,watchfiles,,,dependency,2.0,0.0,2.0,0.0053759594769394,0.0,,,,,
node_metric,2023_end,starlette,,,dependency,1.0,0.0,1.0,0.0066541248481171,1.0,,,,,
node_metric,2023_end,typing-extensions,,,dependency,12.0,0.0,12.0,0.0128066988842597,1.0,,,,,
node_metric,2023_end,gradio,,,App/Service,0.0,25.0,25.0,0.0049538219478653,4.0,,,,,
node_metric,2023_end,altair,,,dependency,2.0,0.0,2.0,0.0053053340329447,0.0,,,,,
node_metric,2023_end,ffmpy,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,gradio-client,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,huggingface-hub,,,Model Runtime,7.0,7.0,14.0,0.0133831023185293,2.0,,,,,
node_metric,2023_end,importlib-resources,,,dependency,2.0,0.0,2.0,0.0052782111868738,4.0,,,,,
node_metric,2023_end,jinja2,,,dependency,3.0,0.0,3.0,0.0059261186500328,0.0,,,,,
node_metric,2023_end,markupsafe,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,matplotlib,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,numpy,,,dependency,14.0,0.0,14.0,0.0107837786834801,2.0,,,,,
node_metric,2023_end,orjson,,,dependency,2.0,0.0,2.0,0.0065258621061372,1.0,,,,,
node_metric,2023_end,pandas,,,dependency,5.0,0.0,5.0,0.0061742874862978,4.0,,,,,
node_metric,2023_end,pillow,,,dependency,3.0,0.0,3.0,0.005831686764509,2.0,,,,,
node_metric,2023_end,pydub,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,pyyaml,,,dependency,11.0,0.0,11.0,0.0107725813189618,6.0,,,,,
node_metric,2023_end,semantic-version,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,tomlkit,,,dependency,1.0,0.0,1.0,0.0051222548219658,4.0,,,,,
node_metric,2023_end,typer,,,dependency,4.0,0.0,4.0,0.0062016370317233,3.0,,,,,
node_metric,2023_end,modal,,,App/Service,0.0,19.0,19.0,0.0049538219478653,0.0,,,,,
node_metric,2023_end,aiohttp,,,dependency,8.0,0.0,8.0,0.0081368651482535,6.0,,,,,
node_metric,2023_end,aiostream,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,asgiref,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,certifi,,,dependency,2.0,0.0,2.0,0.005643313245353,0.0,,,,,
node_metric,2023_end,cloudpickle,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,grpclib,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,importlib-metadata,,,dependency,5.0,0.0,5.0,0.0070545488299817,0.0,,,,,
node_metric,2023_end,protobuf,,,dependency,3.0,0.0,3.0,0.0060603270036937,0.0,,,,,
node_metric,2023_end,rich,,,dependency,2.0,0.0,2.0,0.0053585233616081,0.0,,,,,
node_metric,2023_end,synchronicity,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,tblib,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,toml,,,dependency,2.0,0.0,2.0,0.0053585233616081,0.0,,,,,
node_metric,2023_end,types-certifi,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,types-toml,,,dependency,1.0,0.0,1.0,0.0051754441506292,0.0,,,,,
node_metric,2023_end,streamlit,,,App/Service,0.0,23.0,23.0,0.0049538219478653,0.0,,,,,
node_metric,2023_end,blinker,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,cachetools,,,dependency,2.0,0.0,2.0,0.0054376741483094,8.0,,,,,
node_metric,2023_end,gitpython,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,pyarrow,,,dependency,3.0,0.0,3.0,0.0057581592091082,4.0,,,,,
node_metric,2023_end,pydeck,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,python-dateutil,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,requests,,,dependency,15.0,0.0,15.0,0.0156190153830133,6.0,,,,,
node_metric,2023_end,tenacity,,,dependency,6.0,0.0,6.0,0.0070877290605547,6.0,,,,,
node_metric,2023_end,tornado,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,tzlocal,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,validators,,,dependency,2.0,0.0,2.0,0.0065405084430155,6.0,,,,,
node_metric,2023_end,watchdog,,,dependency,1.0,0.0,1.0,0.0051369011588442,0.0,,,,,
node_metric,2023_end,crewai,,,Framework/Agent,0.0,3.0,3.0,0.0049538219478653,1.0,,,,,
node_metric,2023_end,langchain,,,Framework/Agent,1.0,13.0,14.0,0.0063574292320366,6.0,,,,,
node_metric,2023_end,openai,,,LLM API,3.0,7.0,10.0,0.0070729937298495,1.0,,,,,
node_metric,2023_end,async-timeout,,,dependency,1.0,0.0,1.0,0.0053694934841305,6.0,,,,,
node_metric,2023_end,jsonpatch,,,dependency,2.0,0.0,2.0,0.0059938748103823,6.0,,,,,
node_metric,2023_end,langchain-community,,,Framework/Agent,1.0,9.0,10.0,0.0053694934841305,6.0,,,,,
node_metric,2023_end,langchain-core,,,Framework/Agent,2.0,8.0,10.0,0.0058766167553271,6.0,,,,,
node_metric,2023_end,langsmith,,,dependency,3.0,0.0,3.0,0.0065009980815789,6.0,,,,,
node_metric,2023_end,sqlalchemy,,,dependency,3.0,0.0,3.0,0.0061243121584162,6.0,,,,,
node_metric,2023_end,anyio,,,dependency,3.0,0.0,3.0,0.0070385891399836,1.0,,,,,
node_metric,2023_end,llama-index,,,Framework/Agent,0.0,17.0,17.0,0.0049538219478653,1.0,,,,,
node_metric,2023_end,beautifulsoup4,,,dependency,1.0,0.0,1.0,0.0052015173509543,1.0,,,,,
node_metric,2023_end,deprecated,,,dependency,1.0,0.0,1.0,0.0052015173509543,1.0,,,,,
node_metric,2023_end,fsspec,,,dependency,4.0,0.0,4.0,0.0074828954209746,2.0,,,,,
node_metric,2023_end,nltk,,,dependency,1.0,0.0,1.0,0.0052015173509543,1.0,,,,,
node_metric,2023_end,tiktoken,,,Model Runtime,2.0,2.0,4.0,0.0056693864456781,2.0,,,,,
node_metric,2023_end,typing-inspect,,,dependency,1.0,0.0,1.0,0.0052015173509543,1.0,,,,,
node_metric,2023_end,anthropic,,,LLM API,0.0,7.0,7.0,0.0049538219478653,1.0,,,,,
node_metric,2023_end,distro,,,dependency,2.0,0.0,2.0,0.0064142078137319,1.0,,,,,
node_metric,2023_end,sniffio,,,dependency,2.0,0.0,2.0,0.0064142078137319,1.0,,,,,
node_metric,2023_end,tokenizers,,,Model Runtime,4.0,1.0,5.0,0.006721270538028,2.0,,,,,
node_metric,2023_end,cohere,,,LLM API,0.0,6.0,6.0,0.0049538219478653,0.0,,,,,
node_metric,2023_end,backoff,,,dependency,1.0,0.0,1.0,0.005655625589951,0.0,,,,,
node_metric,2023_end,fastavro,,,dependency,1.0,0.0,1.0,0.005655625589951,0.0,,,,,
node_metric,2023_end,urllib3,,,dependency,2.0,0.0,2.0,0.0062571715688815,0.0,,,,,
node_metric,2023_end,google-generativeai,,,LLM API,0.0,6.0,6.0,0.0049538219478653,0.0,,,,,
node_metric,2023_end,google-ai-generativelanguage,,,dependency,1.0,0.0,1.0,0.005655625589951,0.0,,,,,
node_metric,2023_end,google-api-core,,,dependency,1.0,0.0,1.0,0.005655625589951,0.0,,,,,
node_metric,2023_end,google-auth,,,dependency,1.0,0.0,1.0,0.005655625589951,0.0,,,,,
node_metric,2023_end,tqdm,,,dependency,9.0,0.0,9.0,0.0105815411468748,2.0,,,,,
node_metric,2023_end,litellm,,,LLM API,0.0,9.0,9.0,0.0049538219478653,0.0,,,,,
node_metric,2023_end,mistralai,,,LLM API,0.0,3.0,3.0,0.0049538219478653,1.0,,,,,
node_metric,2023_end,replicate,,,LLM API,0.0,4.0,4.0,0.0049538219478653,1.0,,,,,
node_metric,2023_end,together,,,LLM API,0.0,6.0,6.0,0.0049538219478653,3.0,,,,,
node_metric,2023_end,sseclient-py,,,dependency,1.0,0.0,1.0,0.005655625589951,3.0,,,,,
node_metric,2023_end,tabulate,,,dependency,1.0,0.0,1.0,0.005655625589951,3.0,,,,,
node_metric,2023_end,accelerate,,,Model Runtime,2.0,7.0,9.0,0.0060767077752024,2.0,,,,,
node_metric,2023_end,psutil,,,dependency,3.0,0.0,3.0,0.0064135554579622,2.0,,,,,
node_metric,2023_end,safetensors,,,Model Runtime,4.0,0.0,4.0,0.0071812123516616,2.0,,,,,
node_metric,2023_end,torch,,,Model Runtime,4.0,18.0,22.0,0.0071153591000478,5.0,,,,,
node_metric,2023_end,datasets,,,Model Runtime,1.0,15.0,16.0,0.005655625589951,2.0,,,,,
node_metric,2023_end,dill,,,dependency,1.0,0.0,1.0,0.005274307008664,2.0,,,,,
node_metric,2023_end,filelock,,,dependency,5.0,0.0,5.0,0.0083036299010503,2.0,,,,,
node_metric,2023_end,multiprocess,,,dependency,1.0,0.0,1.0,0.005274307008664,2.0,,,,,
node_metric,2023_end,pyarrow-hotfix,,,dependency,1.0,0.0,1.0,0.005274307008664,2.0,,,,,
node_metric,2023_end,xxhash,,,dependency,1.0,0.0,1.0,0.005274307008664,2.0,,,,,
node_metric,2023_end,diffusers,,,Model Runtime,0.0,8.0,8.0,0.0049538219478653,2.0,,,,,
node_metric,2023_end,regex,,,dependency,3.0,0.0,3.0,0.0084317373758389,2.0,,,,,
node_metric,2023_end,peft,,,Model Runtime,0.0,10.0,10.0,0.0049538219478653,2.0,,,,,
node_metric,2023_end,transformers,,,Model Runtime,3.0,10.0,13.0,0.0063774807646676,2.0,,,,,
node_metric,2023_end,networkx,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cublas-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cuda-cupti-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cuda-nvrtc-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cuda-runtime-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
node_metric,2023_end,nvidia-cudnn-cu12,,,dependency,1.0,0.0,1.0,0.0052898166812085,5.0,,,,,
